name,sku,available,purchase_option,price,cost_price,container_water_weight,container_sweets_weight,width,height,depth,weight,description,meta_description,brand,type[Butter],type[Caramel],type[Chewy],type[Chocolate],type[Dried Fruit],type[Fizzy],type[Gum],type[Gummy],type[Hard],type[Jelly],type[Liquorice],type[Lollipop],type[Mint],type[Nougat],type[Novelty],type[Nuts],type[Sherbet],type[Traditional],type[Toffee],type[Wrapped],flavour[Aniseed],flavour[Apple],flavour[Banana],flavour[Blackcurrant],flavour[Bubblegum],flavour[Cherry],flavour[Chocolate],flavour[Coconut],flavour[Cola],flavour[Cream],flavour[Custard],flavour[Mixed Fruit],flavour[Ginger],flavour[Lemon],flavour[Lime],flavour[Mint],flavour[Orange],flavour[Pear],flavour[Raspberry],flavour[Rhubarb],flavour[Salt],flavour[Sour],flavour[Strawberry],flavour[Toffee],flavour[Vanilla],flavour[Watermelon],colour[Black],colour[Blue],colour[Brown],colour[Green],colour[Orange],colour[Pink],colour[Purple],colour[Rainbow],colour[Red],colour[White],colour[Yellow],contains[Alcohol],contains[Gluten],contains[Lactose],contains[Nuts],contains[Sugar],contains[Gelatin],ingredients,serving_size,energy,protein,carbohydrates,fat
Alphabet Chocolate (I is for Irish Cream),HBG-NV-001-09,FALSE,0,2.89,1.85,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with an Irish twist.",Irish Cream Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,1,,"Sugar 43.2%, Cocoa Butter 22.7%, Whole Milk Powder 22.4%, Cocoa Mass 11.2%, Soy Lecithin 0.5%, Flavouring: Natural Vanilla, Milk Proteins: Lactose, Emulsifier: Soy Lecithin (E322), Natural and Artificial Flavours, Sweet Almond Oil, Caprylic and Capric Triglycerides",,,,,
Alphabet Chocolate (J is for Jelly),HBG-NV-001-10,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with strawberry jelly.",Strawberry Jelly Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, Glucose-Fructose Syrup, Sugar, Gelatine, Citric Acid, Acid Regulator, Sodium Citrates, Acetic Acid, Flavouring, Colours, Carmines, Curcumin",,,,,
Alphabet Chocolate (K is for Key Lime),HBG-NV-001-11,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate, key lime, meringue and biscuit.",Key Lime Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, Egg White (Thickeners: Guar Gum, Xanthan Gum), Natural Flavouring: Key Lime",,,,,
Alphabet Chocolate (L is for Lemon Meringue),HBG-NV-001-12,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - White chocolate with lemon meringue pieces.",Lemon Meringue Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,"Cocoa 28%, Sugar, Cocoa Butter, Whole Milk Powder, Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier, Sugar Egg White (Thickeners: Guar Gum, Xanthan Gum), Natural Lemon Flavouring",,,,,
Alphabet Chocolate (M is for Mint),HBG-NV-001-13,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Dark chocolate with mint and choc chip pieces.",Mint Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 53.8%, Cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier, Natural Mint Flavouring",,,,,
Alphabet Chocolate (N is for Neapolitan ),HBG-NV-001-14,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - White chocolate with strawberry and chocolate swirls.",Neapolitan Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,1,1,1,,"Cocoa 53.8%, Cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier, Natural Mint Flavouring",,,,,
Alphabet Chocolate (O is for Orange),HBG-NV-001-15,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with a hint of orange.",Orange Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, Natural Flavouring: Orange Oil",,,,,
Alphabet Chocolate (P is for Peanut Butter),HBG-NV-001-16,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with a peanut butter centre.",Peanut Butter Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, Whole Skin Peanuts, Sea Salt",,,,,
Alphabet Chocolate (Q is for Queen),HBG-NV-001-17,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Milk chocolate with gold covered almond and walnut pieces.",Queen Alphabet Chocolate for Ł2.89 with gold coloured almond and walnut pieces. Traditional sweet treats and more at Humbugs Confectionery Store.,Laybella,,,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin. Flavouring: Natural Vanilla, Sucrose, Roasted Almonds and Hazelnuts, Coating Agent (Thickener: Arabic Gum, Glucose Syrup, Vegetable Oil, Acidifier: Citric Acid), Colourings: E171, E172, (Carrier: E555)",,,,,
Alphabet Chocolate (R is for Raspberry),HBG-NV-001-18,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - White chocolate with raspberry pieces.",Raspberry Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,"Cocoa 28%, Sugar, Cocoa Butter, Whole Milk Powder,  Soy Lecithin. Flavouring: Natural Vanilla, Emulsifier, Raspberry",,,,,
Alphabet Chocolate (S is for Strawberry),HBG-NV-001-19,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - White chocolate with strawberry pieces.",Strawberry Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,1,1,1,,"Cocoa 28%, Sugar, Cocoa Butter, Whole Milk Powder,  Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier, Strawberry",,,,,
Alphabet Chocolate (T is for Toffee),HBG-NV-001-20,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with toffee chip pieces.",Toffee Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, White Granulated Sugar, Glucose, Full Cream, Sweetened Condensed Milk, Vegetable Oil (Palm Oil), Butter Oil",,,,,
Alphabet Chocolate (U is for Under the Sea),HBG-NV-001-21,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Caramel chocolate with sprinkles of sea salt.",Under the Sea Alphabet Chocolate for Ł2.89 with sea salt and caramel. Traditional sweet treats and more at Humbugs Confectionery Store.,Laybella,,1,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,1,1,,"Sugar 37%, Cocoa Butter 26.5%, Whole Milk Powder 25.5%, Cocoa Mass 6.5%, Soy Lecithin 0.5%, Flavouring: Natural Vanilla, Caramelised Sugar, Lactose Emulsifier: Soy Lecithin, (Skimmed Milk Powder, Milk Proteins Sugar, Butter), Salt",,,,,
Alphabet Chocolate (V is for Vanilla),HBG-NV-001-22,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - White chocolate with vanilla seeds.",Vanilla Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,1,,"Cocoa 28%, Sugar, Cocoa Butter, Whole Milk Powder,  Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier, Fructose Syrup, Flavouring Preparation (Vanilla Extract), Exhausted Vanilla Seeds",,,,,
Alphabet Chocolate (W is for Walnut Whip),HBG-NV-001-23,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Milk chocolate, walnuts, vanilla and chocolate chips.",Walnut Whip Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, Fructose Syrup, Flavouring Preparation (Vanilla Extract), Exhausted Vanilla, Walnut",,,,,
Alphabet Chocolate (X is for Xplosive),HBG-NV-001-24,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with popping candy pieces.",Xplosive Alphabet Chocolate for Ł2.89 with popping candy pieces. Traditional sweet treats and more at Humbugs Confectionery Store.,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin. Flavouring: Natural Vanilla, Sugar, Glucose, Cocoa Butter, Carbon Dioxide",,,,,
Alphabet Chocolate (Y is for Yoghurt),HBG-NV-001-25,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - White chocolate with yoghurt covered raisins.",Yoghurt Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,"Cocoa 28%, Sugar, Cocoa Butter, Whole Milk Powder,  Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier, Raisins, Sugar, Partially Hydrogenated Palm Kernel Oil, Nonfat Milk, Nonfat Yogurt, Whey, Titanium Dioxide, Corn Syrup, Vanillin, Dextrin, Maltodextrin",,,,,
Alphabet Chocolate (Z is for Zzzz),HBG-NV-001-26,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Zimply a plain chocolate bar.",Zzzzz Alphabet Plain Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 53.8%, Cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier",,,,,
American Hard Gums,HBG-JR-003-01,TRUE,1,0.01,0.0065,919,715,,,,,,American Hard Gums only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,,,1,1,,1,,1,,1,1,1,"Glucose Syrup, Sugar, Cornflour, Potato Starch, Citric Acid, Colours: Anthocyanins, Curcumin, Capsanthin, Nettle, Spinach",100,353,0.3,86.1,0.2
Animal Bar,HBG-CB-001-01,FALSE,0,1,0.1,,,85,50,7,20,Milk chocolate bar with a fun game on the inside of the wrapper.,Animal Bar only 25p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Nestle,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,"Sugar, Whole Milk Powder, Cocoa Butter, Whey Powder, Emulsifier: Soya Lecithin; Flavouring ",20,100,1,12,5.3
Aniseed Balls,HBG-JR-004-01,TRUE,1,0.01,0.0065,919,881,,,,,Boiled aniseed flavoured candy balls with a pip in the middle.,Aniseed Balls only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,"Dextrose, Sugar, Maize Starch, Rape Seed, Modified Maize Starch, Flavouring, Aniseed Oil, E129, E151, E171, Carnauba Wax",100,401,0.1,98.48,0.02
Aniseed Twists,HBG-JR-005-01,TRUE,1,0.01,0.0065,919,646,,,,,"Red, aniseed-flavoured boiled sweet",Aniseed Twists only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,"Sugar, Glucose, Citric acid, Flavouring, Colour: E129",,,,,
Army & Navy,HBG-JR-006-01,TRUE,1,0.012,0.0085,919,761,,,,,Traditional hard boiled sweets flavoured with liquorice and herbs.,Army & Navy sweets only Ł1.20/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,"Sugar, Glucose Syrup, Citric Acid, Liquorice Extract, Colours: Carbon Black",,,,,
Atomic Fireblast (Box),HBG-SI-001-01,FALSE,0,0.4,0.25,,,85,45,15,0,Small hard candy pieces with a hot flavour that come in handy pocket size boxes.,Atomic Fireblast (Box) sweets only 35p. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,"Sugar, Gelling Agent (E414), Flavourings, Corn Starch, Glazing Agent (Carnauba Wax), Colours: E129, E171",21,98,0,24,0
